,word_in_post,Number_of_time_word_occured
412,will,2
413,go,2
414,whatever,1
415,you're,1
416,throwing,1
417,grill,1
418,side,1
419,dish,1
420,plus,2
421,ali_rosen's,1
422,using,2
423,Sides,1
424,now,2
425,Pimento,2
426,Cheese,2
427,Bring,1
428,Southern,1
429,staple,1
430,straight,1
431,kitchen,2
432,Find,1
433,out,1
434,ChefDPhillips',1
435,extra,1
436,tangy,1
437,Mumbai,2
438,Ka,3
439,Lakhpati,1
440,Chai,1
441,WalaHave,1
442,Been,1
443,To,3
444,Place,2
445,In,5
446,dilsefoodie,10
447,Thank,1
448,Soo,1
449,Much,1
450,Guys,1
451,Your,1
452,Support,2
453,And,4
454,LoveYess,1
455,Finally,1
456,We,3
457,Reached,1
458,Half,1
459,Million,1
460,500k,1
461,Followers,1
462,Here,2
463,Is,2
464,Few,1
465,Messages,1
466,My,1
467,Favourite,2
468,People,1
469,Yaha,1
470,Milta,1
471,Hai,1
472,Gurgaon,1
473,Best,3
474,Mutton,2
475,CurryAapne,1
476,Khaya,1
477,Kabhi,1
478,Aunty,1
479,Ki,1
480,Rasoi,1
481,Veg,1
482,Dum,1
483,Biryani,1
484,By,1
485,London,1
486,Chef,2
487,chefmahendrarajVeg,1
488,Walo,1
489,Tag,3
490,Karo,1
491,Vegetarian,1
492,Ko,1
493,Try,2
494,Meet,1
495,Mrs,1
496,Dalbir,1
497,KaurShe,1
498,run,1
499,dhaba,1
500,because,1
501,Passion,1
502,There,1
503,no,2
504,age,1
505,limit,1
506,follow,2
507,passion,1
508,Eat,1
509,Nonveg,1
510,Jama,1
511,MasjidAll,1
512,Time,1
513,Al,1
514,Jawahar,1
515,Man,1
516,Giving,1
517,100000Rs,1
518,Prize0,1
519,Oil,1
520,Wale,1
521,Amritsari,1
522,Bheega,1
523,Kulcha,1
524,Seekh,1
525,Kebab,1
526,BiryaniVery,1
527,Easy,1
528,Me,1
529,Stories,1
530,One,1
531,Ramesh,2
532,Nagar,2
533,Tandoori,1
534,MomosAccording,1
535,me,2
536,tandoori,1
537,momos,1
538,I,3
539,had,1
540,life,1
541,thought,1
542,veg,1
543,still,1
544,Location,1
545,Shah,1
546,Ji,1
547,Di,1
548,Hatti,1
549,am,2
550,very,1
551,happy,1
552,excited,1
553,announce,1
554,nominated,1
555,SocialMax,1
556,Awards,1
557,2020,1
558,by,2
559,nowmax_info,1
560,likes,1
561,wishes,1
562,SocialMaxAwards2020,1
563,NowMax,1
564,worldsocialmediaday,1
565,firstonlinesocialmediaawards,1
566,stayhome,1
567,staysafe,1
568,s,7
569,Pin,1
570,Colada,3
571,What,2
572,better,1
573,way,1
574,kick,1
575,weekend,1
576,than,3
577,having,1
578,Pina,2
579,cocktails,1
580,that's,1
581,symbol,1
582,some,1
583,carefree,1
584,fun,2
585,The,1
586,closest,1
587,thing,1
588,being,2
589,beach,1
590,goes,1
591,absolute,2
592,delish,2
593,perfect,2
594,INGREDIENTS,1
595,ml,2
596,rum50,1
597,coconut,2
598,milk1,1
599,3,5
600,cup,5
601,fresh,2
602,pineapple,4
603,chunks,2
604,garnish,2
605,splash,1
606,juice1,1
607,iceCherries,1
608,DIRECTIONS,1
609,rum,1
610,milk,3
611,juice,1
612,blender,1
613,Blend,1
614,until,2
615,smooth,1
616,Pour,1
617,into,2
618,glassGarnish,1
619,glass,2
620,chunk,1
621,cherry,1
622,Picture,1
623,credits,1
624,vanillaandbean,1
625,Korean,1
626,seafood,1
627,stew,3
628,aka,1
629,Haemul,1
630,Sundubu,1
631,JigeaIn,1
632,iam_eshan,1
633,Ingredients2,1
634,stock1,1
635,onion,2
636,cut,3
637,lengthways1,2
638,inch,1
639,ginger,2
640,strips10,1
641,garlic,2
642,cloves,1
643,Tablespoon,2
644,Gochujang100,1
645,gms,3
646,Kimchi1,1
647,2,6
648,large,2
649,napa,1
650,cabbage1,1
651,Dark,2
652,Soy,1
653,Sauce300,1
654,prawns200,1
655,squid,3
656,MethodIn,1
657,pot,1
658,add,5
659,stock,1
660,Let,1
661,boil,2
662,stir,1
663,gochujang,1
664,kimchi,1
665,Stir,1
666,well,4
667,soy,1
668,sauce,2
669,let,1
670,Cabbage,1
671,prawns,1
672,cook,2
673,minutes,3
674,another,1
675,turn,1
676,heat,1
677,time,2
678,otherwise,1
679,become,1
680,chewy,1
681,Serve,2
682,immediately,1
683,TalkHealth,1
684,know,1
685,good,1
686,idea,1
687,grab,1
688,snack,1
689,after,1
690,hit,1
691,gym,1
692,what,1
693,exactly,1
694,happens,1
695,body,1
696,if,2
697,don't,1
698,fitnessmotivation,1
699,wednesdayworkout,1
700,Think,1
701,authentic,1
702,oriental,1
703,flavours,1
704,produce,1
705,dishes,1
706,prepared,2
707,only,2
708,once,1
709,order,1
710,received,1
711,thaicratedelivery,1
712,stop,1
713,shop,1
714,things,2
715,flavourful,1
716,tasty,1
717,healthy,1
718,strive,1
719,deliver,1
720,consistent,1
721,quality,1
722,every,1
723,Open,1
724,days,1
725,week,1
726,12,2
727,noon,1
728,8pm,1
729,weekdays,1
730,till,1
731,10pm,1
732,from,2
733,Friday,1
734,Sunday,1
735,Call,1
736,95828,1
737,45369,1
738,8800888826,1
739,midweek,1
740,fix,2
741,yum,1
742,delicious,1
743,greatest,1
744,day,3
745,year,1
746,worldchocolateday,1
747,friend,1
748,eats,1
749,Tomorrow,1
750,World,2
751,Chocolate,2
752,don,1
753,t,1
754,worry,1
755,ve,1
756,got,3
757,covered,2
758,here,1
